"Story","Title","Result","Date","Stability","Duration (s)"
"register on the page","user registers on the page by entering their data","PENDING","2023-10-08T16:27:32.0668661-05:00[America/Bogota]","0.0","0.55"
"el susario se registra","usuario se regitra para comprar","PENDING","2023-11-22T15:00:32.1589266-05:00[America/Bogota]","0.0","0.44"
"Perform a flight search","user performs a travel search to stop his trip","PENDING","2023-10-15T09:54:33.1594016-05:00[America/Bogota]","0.0","0.36"
