"Story","Title","Result","Date","Stability","Duration (s)"
"Enter the application","user enter the application with their correct credentials","SUCCESS","2023-11-22T06:30:41.1263921-05:00[America/Bogota]","0.0","19.12"
"register on the page","user registers on the page by entering their data","SUCCESS","2023-11-22T06:59:00.7284196-05:00[America/Bogota]","0.0","17.22"
"el susario se registra","usuario se regitra para comprar","SUCCESS","2023-11-22T15:17:05.6983035-05:00[America/Bogota]","0.0","12.87"
"Perform a flight search","user performs a travel search to stop his trip","ERROR","2023-10-15T10:01:31.8074699-05:00[America/Bogota]","0.0","16.84"
